X,Y,ZIP,shooting_num,Price
-118.0620023,34.52821854,93550.0,6,"$1,400 "
-117.9720103,34.00297723,91744.0,1,"$738,000 "
-118.2902847,33.81700055,90502.0,2,"$1,250 "
-118.2061442,33.95019985,90280.0,2,"$1,695 "
-118.2270076,33.88424949,90220.0,1,"$489,999 "
-118.694499,34.15699623,91302.0,4,"$1,450 "
-118.3602323,33.93900024,90304.0,1,$600 
-118.2650118,33.868233,90745.0,9,"$2,701 "
-118.3020035,33.94321357,90047.0,1,"$1,500 "
-118.2310015,33.96871169,90255.0,1,"$3,900 "
-118.4910028,34.26470531,91344.0,3,"$1,950 "
-118.163002,34.66768309,93534.0,35,"$1,925 "
-117.9961952,34.12400488,91016.0,3,"$2,040 "
-117.9530372,33.98398652,91745.0,1,"$1,726 "
-118.4016239,34.2532719,91331.0,1,"$3,995 "
-118.0870086,33.99400717,90660.0,1,"$1,575 "
-118.2980083,34.6259843,93551.0,1,"$1,790 "
-118.3520009,33.91642004,90250.0,3,"$1,750 "
-118.1180562,33.94292385,90241.0,2,"$2,650 "
-118.2441579,34.24200122,91214.0,7,"$2,300 "
-118.0689961,33.82478414,90716.0,1,"$1,750 "
-118.4939632,34.37803219,91321.0,6,"$2,548 "
-118.0089223,34.10014598,91006.0,4,"$1,625 "
-117.7484139,34.13415375,91750.0,7,"$2,630 "
-117.9100258,34.15606153,91702.0,7,"$2,380 "
-118.3950475,34.142988,91604.0,39,"$3,977 "
-117.9009869,33.98816302,91748.0,4,"$2,105 "
-118.2319977,34.02799513,90021.0,3,"$2,300 "
-118.2800041,34.03799386,90015.0,4,"$3,160 "
-118.0569302,33.87206762,90703.0,1,"$945,000 "
-118.094851,33.92498043,90650.0,10,"$2,499 "
-118.2306653,34.07067117,90012.0,107,"$3,558 "
-118.3490003,33.94908316,90301.0,2,"$1,315 "
-118.4268913,34.1750001,91401.0,19,"$1,845 "
-118.4279228,34.00607526,90034.0,2,"$2,150 "
-117.9917932,34.11894313,91010.0,1,"$799,999 "
-118.3815417,34.08699739,90069.0,12,"$2,657 "
-118.2889943,34.00460079,90037.0,1,"$1,625 "
-118.4278069,34.22100007,91402.0,2,"$1,495 "
-118.4916081,34.01330365,90401.0,30,"$2,331 "
-118.569661,34.2409932,91311.0,3,"$2,581 "
-118.5186232,34.22000038,91335.0,7,"$1,675 "
-118.4897417,34.31682442,91342.0,1,"$2,307 "
-118.1568393,34.82069263,93560.0,1,"$1,300 "
-118.0319893,33.97349571,90602.0,4,"$1,250 "
-118.5700373,34.37209687,91381.0,1,"$2,256 "
-118.3069999,33.79000859,90710.0,4,"$2,050 "
-118.3669907,34.09000008,90046.0,11,"$2,595 "
-118.2752176,33.7960024,90744.0,1,"$3,199 "
-118.4850607,34.23700039,91343.0,2,"$2,450 "
-118.0390314,34.09213995,91731.0,1,"$3,515 "
-118.1581277,34.1259929,91105.0,8,"$2,275 "
-118.311471,34.10100209,90028.0,27,"$1,950 "
-118.2409966,33.8519283,90746.0,1,"$2,878 "
-118.3400639,33.83899949,90503.0,6,"$139,000 "
-118.2096451,34.05684608,90033.0,1,"$1,350 "
-118.3779847,34.0760726,90048.0,3,"$4,295 "
-118.3820487,33.96299282,90045.0,1,"$2,245 "
-118.1240924,34.0089337,90640.0,7,"$2,099 "
-118.1321513,33.75496072,90803.0,11,"$1,525 "
-118.5710599,34.23099999,91324.0,35,"$2,295 "
-118.0790529,33.94787367,90670.0,1,"$2,606 "
-117.8705194,34.11300828,91740.0,1,"$2,047 "
-118.4510199,34.17499999,91411.0,3,"$3,340 "
